cod_upp;upp;ano;mes;hom_doloso;lesao_corp_morte;latrocinio;hom_por_interv_policial;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_comercio;roubo_residencia;roubo_veiculo;roubo_carga;roubo_transeunte;roubo_em_coletivo;roubo_banco;roubo_cx_eletronico;roubo_celular;roubo_conducao_saque;total_roubos;furto_veiculos;total_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;recuperacao_veiculos;armas_apreendidas;cump_mandado_prisao;ocorr_flagrante;ameaca;pessoas_desaparecidas;encontro_cadaver;encontro_ossada;pol_militares_mortos_serv;pol_civis_mortos_serv;registro_ocorrencias
1;Santa Marta;2007;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;2;1;0;0;0;0;0;0;0;11
2;Cidade de Deus;2007;1;3;0;0;0;1;18;1;0;1;0;0;5;0;3;9;0;0;3;0;25;1;8;0;0;0;3;15;11;7;2;11;7;2;0;0;0;0;98
3;Batam;2007;1;0;0;0;0;0;4;0;0;0;0;0;4;1;0;0;0;0;0;0;7;0;5;0;0;0;0;1;4;0;0;0;1;0;0;0;0;0;19
4;Chapéu Mangueira / Babilônia;2007;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;2;0;1;0;0;0;0;0;9
5;Pavão-Pavãozinho;2007;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;4;0;0;0;0;1;1;0;0;0;0;12
6;Tabajaras;2007;1;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;6
7;Providência;2007;1;1;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0;2;2;2;5;0;0;8;0;0;0;0;0;31
8;Borel;2007;1;1;0;0;0;0;2;0;0;1;0;0;2;0;1;0;0;0;0;0;4;0;1;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;17
9;Formiga;2007;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6
10;Andaraí;2007;1;0;0;0;3;0;1;0;0;0;0;0;7;2;2;0;0;0;0;0;13;2;4;0;0;0;1;1;4;2;0;1;4;0;0;0;0;0;32
11;Salgueiro;2007;1;0;0;0;0;0;7;0;0;0;1;1;4;0;6;0;0;0;1;0;14;5;14;0;0;0;3;0;0;0;0;1;8;1;0;0;0;0;42
12;Turano;2007;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;0;0;0;3;0;0;0;2;1;0;0;0;0;20
13;São João / Matriz / Queto;2007;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;7
14;Coroa / Fallet / Fogueteiro;2007;1;1;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;2;0;0;0;1;1;0;5;0;0;1;0;0;0;0;0;15
15;Escondidinho / Prazeres;2007;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;2;0;0;0;0;8
16;São Carlos;2007;1;0;0;0;0;0;13;0;0;2;1;0;0;1;1;0;0;0;0;0;3;0;2;0;0;0;1;0;0;6;0;0;7;1;0;0;0;0;36
